sweep,value,T_out_final_C,heat_removed_final_MW,rock_heat_stored_TJ
flow,90.0,34.15398781868529,0.08849287416551893,4.363405607501739
flow,180.0,34.57383250785206,0.08915423935734898,4.423716657338904
flow,360.0,34.786121348724194,0.0894868276937972,4.454251530619123
flow,720.0,34.8928607902454,0.0896540907226489,4.469634178304676
T_in,25.0,24.883338917486,0.0488109969238575,2.4295917442777357
T_in,35.0,34.786121348724194,0.0894868276937972,4.454251530619123
T_in,45.0,44.68890377996239,0.13016265846373692,6.478911316960456
T_in,60.0,59.543077426819686,0.19117640461864355,9.515900996472507
length,250.0,34.89286132122942,0.04482682319761148,2.2348082218307592
length,500.0,34.786121348724194,0.0894868276937972,4.454251530619123
length,1000.0,34.57383234102983,0.17830854851312003,8.847436266993826
length,2000.0,34.15398744393207,0.35397165345882314,17.45362916548197
diameter,2.0,34.83880264565272,0.06744497305890194,2.878357961526707
diameter,3.0,34.811106819715086,0.07903290663120814,3.6504256598239153
diameter,4.0,34.786121348724194,0.0894868276937972,4.454251530619123
diameter,6.0,34.74028465111414,0.10866490197384479,6.21458290255495
rock,coal,34.95553328200476,0.018604874809209176,1.4831947975408872
rock,shale,34.82755144311556,0.07215247620044972,3.789052027829109
rock,sandstone,34.786121348724194,0.0894868276937972,4.454251530619123
rock,limestone,34.7726164676409,0.09513726993904689,4.720564816206277
rock,granite,34.747967278700855,0.10545049059156214,5.1249482788281195
